sample_id	section_id	module_name	n_module_genes	n_present_in_spatial	n_missing_from_spatial	present_genes	missing_genes	score_computed	notes
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_top50	50	47	3	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1	SPATA31H1;C19orf48P;LINC02875	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_top100	100	93	7	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_Bonferroni	94	87	7	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_FDR05	369	350	19	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2;PPP2R1B;KLK15;CHST6;TFAP2D;TAX1BP1;ALAS1;KYAT3;CRYGS;GLUD1;SLC15A2;MIPOL1;TLR9;WNT3;BCR;CYP24A1;ARL17B;QPCTL;PPHLN1;NSF;CREBRF;ATF6B;KLK1;HS6ST3;SFTA2;CHP1;RSPH14;NDUFAB1;NFKBIL1;MED20;LIME1;GXYLT1;CARMIL1;RRAGD;FNIP2;SLC41A1;INPPL1;SF3B1;TRIM26;SIK2;NUSAP1;WNT5A;FTO;NOTCH4;SLC2A4RG;TRIM31;FOLR2;RTF1;FBXO46;TRIM64C;MOB4;OIP5;NDUFAF1;AMPD3;SCGN;SNRPD2;CSNK2B;GATA3;MPIG6B;HERPUD1;RAP1GAP;AOPEP;KMT5A;TFEB;PDE8A;INO80;ACP1;PM20D1;ARFRP1;CRAT;BCAS3;PPP1R9B;BABAM2;F11R;KLK3;DDR1;TNFRSF6B;FN3K;INTS2;SLC14A2;NKAPD1;MUCL3;ABCG2;CHADL;TRPM7;FKBPL;SYT14;SUN2;TMEM171;ADK;ZGPAT;USP50;RTEL1;FAM227A;MED13;BOLL;CDK18;L3MBTL2;ALG12;GTPBP1;HTR1D;ZNF750;ALKAL2;ARHGAP30;ST6GAL1;PTPA;SDHD;C6orf47;MUC22;SLC17A1;ILDR1;TOMM22;EPB41L2;EP300;ZBED4;MICA;CBY1;MZF1;USP8;KIF7;HFE;PSMD12;TNS1;AP4E1;L3MBTL3;NUCKS1;OR4X1;TINAG;SH3YL1;PSORS1C1;TNF;S100A14;FAM120A;TRIM38;TRIM39;MCTP2;LY6G5B;HLA-DOB;RGS19;ATP6V0E1;JAZF1;ADD3;TMEM252;LUZP1;ZNF431;A4GALT;RREB1;OR6Q1;SPPL2A;STARD3;ALPI;RAB24;NFATC1;DNAJC3;GNAQ;PDE3A;ZBTB12;FOLH1;CYB5A;UGGT2;DDAH2;RARB;KIF17;CDK2AP1;LIPJ;KDM1A;VWA7;FNDC4;PALB2;TICRR;CDC42SE1;DHX16;ARID5B;ARPC2;DDX39B;PARD3;GIPC1;ANKRD6;UNC5CL;LTB;USP49;OGFOD2;ARL6IP4;PIK3CA;SLC5A6;CYB5R3;SIRT4;PPL;MYBPC3;PNMT;SEMA6C;TEX46;TIGD1;SPRY2;PNKD;CRELD2;FGFR4;ITPK1;HJURP;BRD1;AMZ1;GADD45A;MTHFR;GABPB2;OR4A47;ITPKA;SPAST;JOSD1;CLCN6;HSPD1;HLF;S100A13;USP40;LRRC4B;PITPNM2;SLC45A3;OPRL1;KAT5;MICB;SCNN1B;MAZ;SFMBT1;EVC;SNAPIN;TRIM16L;FGF10;SULT1A2;NCR3;GNAZ;VOPP1;TOX3;BTBD7;HEXIM1;GPN1;OR9Q1;BCL7A;SAMD8;RGS3;POP5;HMGA2;CREG2;BYSL;GPSM3;CEPT1;CSDC2;RANGAP1;SLC25A21;ZNF236;HLA-DQA1;HLA-DRA;MPV17;SMIM21;IFT172;MANSC4;GALR3;TSPO2;CUL2;SGF29	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726;HSPE1-MOB4;EPRS1;HOATZ;IFT56;H4C1;MTRFR;CMKLR2;DUSP13B;101927260;101060179;MIR9-1HG;TRIM39-RPP21	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_suggestive_p1e4	187	177	10	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2;PPP2R1B;KLK15;CHST6;TFAP2D;TAX1BP1;ALAS1;KYAT3;CRYGS;GLUD1;SLC15A2;MIPOL1;TLR9;WNT3;BCR;CYP24A1;ARL17B;QPCTL;PPHLN1;NSF;CREBRF;ATF6B;KLK1;HS6ST3;SFTA2;CHP1;RSPH14;NDUFAB1;NFKBIL1;MED20;LIME1;GXYLT1;CARMIL1;RRAGD;FNIP2;SLC41A1;INPPL1;SF3B1;TRIM26;SIK2;NUSAP1;WNT5A;FTO;NOTCH4;SLC2A4RG;TRIM31;FOLR2;RTF1;FBXO46;TRIM64C;MOB4;OIP5;NDUFAF1;AMPD3;SCGN;SNRPD2;CSNK2B;GATA3;MPIG6B;HERPUD1;RAP1GAP;AOPEP;KMT5A;TFEB;PDE8A;INO80;ACP1;PM20D1;ARFRP1;CRAT;BCAS3;PPP1R9B;BABAM2;F11R;KLK3;DDR1;TNFRSF6B;FN3K;INTS2;SLC14A2;NKAPD1;MUCL3;ABCG2;CHADL;TRPM7	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726;HSPE1-MOB4;EPRS1;HOATZ	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top50	50	47	3	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1	SPATA31H1;C19orf48P;LINC02875	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top100	100	93	7	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_Bonferroni	94	87	7	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_FDR05	369	350	19	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2;PPP2R1B;KLK15;CHST6;TFAP2D;TAX1BP1;ALAS1;KYAT3;CRYGS;GLUD1;SLC15A2;MIPOL1;TLR9;WNT3;BCR;CYP24A1;ARL17B;QPCTL;PPHLN1;NSF;CREBRF;ATF6B;KLK1;HS6ST3;SFTA2;CHP1;RSPH14;NDUFAB1;NFKBIL1;MED20;LIME1;GXYLT1;CARMIL1;RRAGD;FNIP2;SLC41A1;INPPL1;SF3B1;TRIM26;SIK2;NUSAP1;WNT5A;FTO;NOTCH4;SLC2A4RG;TRIM31;FOLR2;RTF1;FBXO46;TRIM64C;MOB4;OIP5;NDUFAF1;AMPD3;SCGN;SNRPD2;CSNK2B;GATA3;MPIG6B;HERPUD1;RAP1GAP;AOPEP;KMT5A;TFEB;PDE8A;INO80;ACP1;PM20D1;ARFRP1;CRAT;BCAS3;PPP1R9B;BABAM2;F11R;KLK3;DDR1;TNFRSF6B;FN3K;INTS2;SLC14A2;NKAPD1;MUCL3;ABCG2;CHADL;TRPM7;FKBPL;SYT14;SUN2;TMEM171;ADK;ZGPAT;USP50;RTEL1;FAM227A;MED13;BOLL;CDK18;L3MBTL2;ALG12;GTPBP1;HTR1D;ZNF750;ALKAL2;ARHGAP30;ST6GAL1;PTPA;SDHD;C6orf47;MUC22;SLC17A1;ILDR1;TOMM22;EPB41L2;EP300;ZBED4;MICA;CBY1;MZF1;USP8;KIF7;HFE;PSMD12;TNS1;AP4E1;L3MBTL3;NUCKS1;OR4X1;TINAG;SH3YL1;PSORS1C1;TNF;S100A14;FAM120A;TRIM38;TRIM39;MCTP2;LY6G5B;HLA-DOB;RGS19;ATP6V0E1;JAZF1;ADD3;TMEM252;LUZP1;ZNF431;A4GALT;RREB1;OR6Q1;SPPL2A;STARD3;ALPI;RAB24;NFATC1;DNAJC3;GNAQ;PDE3A;ZBTB12;FOLH1;CYB5A;UGGT2;DDAH2;RARB;KIF17;CDK2AP1;LIPJ;KDM1A;VWA7;FNDC4;PALB2;TICRR;CDC42SE1;DHX16;ARID5B;ARPC2;DDX39B;PARD3;GIPC1;ANKRD6;UNC5CL;LTB;USP49;OGFOD2;ARL6IP4;PIK3CA;SLC5A6;CYB5R3;SIRT4;PPL;MYBPC3;PNMT;SEMA6C;TEX46;TIGD1;SPRY2;PNKD;CRELD2;FGFR4;ITPK1;HJURP;BRD1;AMZ1;GADD45A;MTHFR;GABPB2;OR4A47;ITPKA;SPAST;JOSD1;CLCN6;HSPD1;HLF;S100A13;USP40;LRRC4B;PITPNM2;SLC45A3;OPRL1;KAT5;MICB;SCNN1B;MAZ;SFMBT1;EVC;SNAPIN;TRIM16L;FGF10;SULT1A2;NCR3;GNAZ;VOPP1;TOX3;BTBD7;HEXIM1;GPN1;OR9Q1;BCL7A;SAMD8;RGS3;POP5;HMGA2;CREG2;BYSL;GPSM3;CEPT1;CSDC2;RANGAP1;SLC25A21;ZNF236;HLA-DQA1;HLA-DRA;MPV17;SMIM21;IFT172;MANSC4;GALR3;TSPO2;CUL2;SGF29	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726;HSPE1-MOB4;EPRS1;HOATZ;IFT56;H4C1;MTRFR;CMKLR2;DUSP13B;101927260;101060179;MIR9-1HG;TRIM39-RPP21	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_suggestive_p1e4	187	177	10	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2;PPP2R1B;KLK15;CHST6;TFAP2D;TAX1BP1;ALAS1;KYAT3;CRYGS;GLUD1;SLC15A2;MIPOL1;TLR9;WNT3;BCR;CYP24A1;ARL17B;QPCTL;PPHLN1;NSF;CREBRF;ATF6B;KLK1;HS6ST3;SFTA2;CHP1;RSPH14;NDUFAB1;NFKBIL1;MED20;LIME1;GXYLT1;CARMIL1;RRAGD;FNIP2;SLC41A1;INPPL1;SF3B1;TRIM26;SIK2;NUSAP1;WNT5A;FTO;NOTCH4;SLC2A4RG;TRIM31;FOLR2;RTF1;FBXO46;TRIM64C;MOB4;OIP5;NDUFAF1;AMPD3;SCGN;SNRPD2;CSNK2B;GATA3;MPIG6B;HERPUD1;RAP1GAP;AOPEP;KMT5A;TFEB;PDE8A;INO80;ACP1;PM20D1;ARFRP1;CRAT;BCAS3;PPP1R9B;BABAM2;F11R;KLK3;DDR1;TNFRSF6B;FN3K;INTS2;SLC14A2;NKAPD1;MUCL3;ABCG2;CHADL;TRPM7	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726;HSPE1-MOB4;EPRS1;HOATZ	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_top50	50	47	3	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1	SPATA31H1;C19orf48P;LINC02875	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_top100	100	93	7	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_Bonferroni	94	87	7	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;STH;SPCS1;MAPT;PRELID1;CRHR1;SPPL2C;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;ITIH1;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4	SPATA31H1;C19orf48P;LINC02875;UQCC5;LOC101927855;LOC101929578;101928726	yes	Module score is arithmetic mean of log-normalized spatial expression across present module genes.
